dates;pocket;rubik;revenge;professor;v6;v7
14/09/2003;;16.53;80.16;139.69;;
14/10/2003;;16.53;80.16;139.69;;
14/11/2003;;16.53;80.16;139.69;;
14/12/2003;;16.53;80.16;139.69;;
14/01/2004;;16.53;80.16;139.69;;
14/02/2004;;14.76;80.16;139.69;;
14/03/2004;;14.76;80.16;139.69;;
14/04/2004;;12.11;80.16;139.69;;
14/05/2004;;12.11;80.16;139.69;;
14/06/2004;;12.11;80.16;139.69;;
14/07/2004;;12.11;72.85;139.69;;
14/08/2004;;12.11;69.11;128.45;;
14/09/2004;;12.11;69.11;128.45;;
14/10/2004;8.44;12.11;69.11;128.45;;
14/11/2004;8.44;12.11;69.11;128.45;;
14/12/2004;8.44;12.11;69.11;128.45;;
14/01/2005;8.44;12.11;69.11;128.45;;
14/02/2005;8.44;12.11;68.12;128.45;;
14/03/2005;8.44;12.11;68.12;128.45;;
14/04/2005;6.35;12.11;68.12;128.45;;
14/05/2005;4.92;12.11;61.52;128.45;;
14/06/2005;4.13;12.11;61.52;128.45;;
14/07/2005;4.13;12.11;60.38;128.45;;
14/08/2005;4.13;12.11;55.38;111.41;;
14/09/2005;4.13;12.11;55.38;111.41;;
14/10/2005;4.13;12.11;55.38;111.41;;
14/11/2005;4.13;11.75;54.13;111.41;;
14/12/2005;3.94;11.75;54.13;111.41;;
14/01/2006;3.94;11.13;54.13;111.41;;
14/02/2006;3.94;11.13;54.13;111.41;;
14/03/2006;3.94;11.13;54.13;111.41;;
14/04/2006;3.94;11.13;54.13;111.41;;
14/05/2006;3.94;11.13;54.13;107.22;;
14/06/2006;3.55;11.13;54.13;107.22;;
14/07/2006;3.55;11.13;54.13;107.22;;
14/08/2006;3.55;10.48;54.13;107.22;;
14/09/2006;3.55;10.48;54.13;107.22;;
14/10/2006;3.55;10.48;51.16;107.22;;
14/11/2006;3.55;10.48;51.16;106.28;;
14/12/2006;3.55;10.48;51.16;106.28;;
14/01/2007;3.55;10.48;51.16;106.28;;
14/02/2007;3.55;10.48;51.16;106.28;;
14/03/2007;3.55;10.36;51.16;104.47;;
14/04/2007;3.55;10.36;51.16;104.47;;
14/05/2007;3.55;9.86;51.16;104.47;;
14/06/2007;3.55;9.86;51.16;104.47;;
14/07/2007;2.73;9.86;51.16;104.47;;
14/08/2007;2.73;9.86;51.16;98.78;;
14/09/2007;2.73;9.86;51.16;98.78;;
14/10/2007;2.73;9.77;51.16;98.78;;
14/11/2007;2.65;9.77;46.63;90.58;;
14/12/2007;2.65;9.55;46.63;90.58;;
14/01/2008;2.65;9.55;46.63;90.03;;
14/02/2008;2.65;9.18;46.63;88.66;;
14/03/2008;1.63;9.18;46.63;88.66;;
14/04/2008;1.63;9.18;46.63;83.83;;
14/05/2008;1.63;8.72;46.63;83.83;;
14/06/2008;1.63;8.72;46.03;83.83;;
14/07/2008;1.63;7.08;46.03;83.83;;
14/08/2008;1.63;7.08;45.15;80.98;;
14/09/2008;1.63;7.08;41.31;80.98;;
14/10/2008;1.63;7.08;41.16;76.21;;
14/11/2008;0.96;7.08;41.16;76.21;;
14/12/2008;0.96;7.08;41.16;76.21;;
14/01/2009;0.96;7.08;40.05;76.21;;
14/02/2009;0.96;7.08;40.05;73.28;176.34;256.47
14/03/2009;0.96;7.08;40.05;73.28;153.55;236.06
14/04/2009;0.96;7.08;40.05;73.22;143.63;227.36
14/05/2009;0.96;7.08;39.83;73.22;143.63;227.36
14/06/2009;0.96;7.08;39.83;73.22;143.63;227.36
14/07/2009;0.96;7.08;39.83;73.22;143.63;227.36
14/08/2009;0.96;7.08;39.28;67.25;138.81;227.36
14/09/2009;0.96;7.08;39.28;67.25;138.81;227.36
14/10/2009;0.96;7.08;36.46;67.25;138.81;223.15
14/11/2009;0.96;7.08;36.46;67.25;138.81;223.15
14/12/2009;0.96;7.08;36.46;67.25;135.53;223.15
14/01/2010;0.96;7.08;36.46;67.25;135.53;223.15
14/02/2010;0.96;7.08;36.46;67.25;135.53;223.15
14/03/2010;0.96;7.08;36.46;67.25;135.53;223.15
14/04/2010;0.96;7.08;36.46;67.25;135.53;223.15
14/05/2010;0.96;7.08;36.46;67.25;135.53;223.15
14/06/2010;0.96;7.08;36.46;67.25;135.53;223.15
14/07/2010;0.96;7.08;35.4;67.25;135.53;223.15
14/08/2010;0.96;7.08;35.4;64.33;135.53;213.25
14/09/2010;0.96;7.08;35.4;62.93;135.53;213.25
14/10/2010;0.96;7.08;34.41;62.93;135.53;205.91
14/11/2010;0.96;6.77;31.97;62.93;133.9;205.91
14/12/2010;0.96;6.77;31.97;62.93;133.9;205.91
14/01/2011;0.96;6.77;31.97;62.93;133.9;205.91
14/02/2011;0.96;6.65;31.97;61.59;125.88;205.91
14/03/2011;0.96;6.65;31.97;61.59;125.88;205.91
14/04/2011;0.96;6.65;31.97;61.59;125.88;205.91
14/05/2011;0.96;6.24;31.05;61.59;125.88;205.91
14/06/2011;0.96;6.24;31.05;61.59;125.88;205.91
14/07/2011;0.96;5.66;30.88;61.59;125.88;205.91
14/08/2011;0.96;5.66;30.88;61.59;122.31;193.19
14/09/2011;0.96;5.66;30.28;60.27;116.96;193.19
14/10/2011;0.96;5.66;30.28;56.22;116.96;193.19
14/11/2011;0.69;5.66;30.28;56.22;116.96;193.19
14/12/2011;0.69;5.66;30.28;56.22;114.81;193.19
14/01/2012;0.69;5.66;30.02;56.22;114.81;193.19
14/02/2012;0.69;5.66;30.02;56.22;114.81;193.19
14/03/2012;0.69;5.66;30.02;56.22;114.81;193.11
14/04/2012;0.69;5.66;26.77;54.86;114.81;193.11
14/05/2012;0.69;5.66;26.77;54.86;109.46;193.11
14/06/2012;0.69;5.66;26.77;54.86;109.46;193.11
14/07/2012;0.69;5.66;26.77;54.86;109.46;193.11
14/08/2012;0.69;5.66;26.77;52.65;109.46;185.8
14/09/2012;0.69;5.66;26.75;51.09;109.46;161.63
14/10/2012;0.69;5.66;26.75;51.09;109.46;161.63
14/11/2012;0.69;5.66;26.75;51.09;109.46;161.63
14/12/2012;0.69;5.66;26.75;51.09;109.46;161.63
14/01/2013;0.69;5.66;26.75;51.09;109.46;161.63
14/02/2013;0.69;5.66;26.75;51.09;109.46;161.63
14/03/2013;0.69;5.55;26.44;51.09;109.46;161.63
14/04/2013;0.69;5.55;26.44;51.09;109.46;161.63
14/05/2013;0.69;5.55;26.44;51.09;109.46;161.63
14/06/2013;0.69;5.55;25.34;51.09;109.46;161.63
14/07/2013;0.69;5.55;25.34;51.09;109.46;161.63
14/08/2013;0.69;5.55;25.34;51.09;100.86;160.11
14/09/2013;0.69;5.55;25.34;50.5;100.86;160.11
14/10/2013;0.69;5.55;25.34;50.5;100.86;160.11
14/11/2013;0.69;5.55;25.34;50.5;100.86;160.11
14/12/2013;0.69;5.55;25.34;50.5;100.86;160.11
14/01/2014;0.69;5.55;24.66;50.5;100.86;160.11
14/02/2014;0.69;5.55;24.66;50.5;100.86;160.11
14/03/2014;0.69;5.55;24.66;50.5;100.86;159.41
14/04/2014;0.69;5.55;24.66;50.5;100.86;159.41
14/05/2014;0.69;5.55;24.33;50.5;100.86;159.41
14/06/2014;0.69;5.55;24.33;50.5;100.86;159.41
14/07/2014;0.69;5.55;24.33;50.5;100.86;159.41
14/08/2014;0.69;5.55;21.97;48.42;100.86;159.41
14/09/2014;0.69;5.55;21.97;48.42;100.86;159.41
14/10/2014;0.69;5.55;21.97;48.42;100.86;158.93
14/11/2014;0.69;5.55;21.97;48.42;100.86;158.93
14/12/2014;0.69;5.55;21.97;48.42;100.86;158.93
14/01/2015;0.69;5.55;21.97;48.42;100.86;158.93
14/02/2015;0.69;5.55;21.97;48.42;100.86;158.93
14/03/2015;0.69;5.55;21.97;48.42;100.86;156.58
14/04/2015;0.69;5.55;21.97;48.42;100.86;156.58
14/05/2015;0.69;5.25;21.97;48.42;100.86;156.58
14/06/2015;0.58;5.25;21.97;48.42;93.55;154.64
14/07/2015;0.58;5.25;21.97;48.42;93.55;154.64
14/08/2015;0.58;5.25;21.97;48.42;93.55;143.55
14/09/2015;0.58;5.25;21.97;48.42;93.55;143.55
14/10/2015;0.58;5.25;21.54;47.25;93.55;143.55
14/11/2015;0.58;5.25;21.54;46.97;93.55;143.55
14/12/2015;0.58;4.9;21.54;46.97;93.55;143.55
14/01/2016;0.58;4.9;21.54;46.97;93.55;143.55
14/02/2016;0.58;4.9;21.54;46.97;93.55;143.55
14/03/2016;0.58;4.9;21.54;46.97;93.55;143.55
14/04/2016;0.49;4.9;21.54;44.83;93.55;143.55
14/05/2016;0.49;4.9;21.54;44.83;93.55;143.55
14/06/2016;0.49;4.9;21.54;44.83;93.55;143.55
14/07/2016;0.49;4.9;21.54;44.83;93.55;143.55
14/08/2016;0.49;4.9;21.54;44.83;93.55;140.66
14/09/2016;0.49;4.9;21.54;44.83;93.55;140.66
14/10/2016;0.49;4.9;21.54;44.83;92.77;140.66
14/11/2016;0.49;4.74;21.54;41.27;92.77;140.66
14/12/2016;0.49;4.73;21.54;41.27;92.77;140.66
14/01/2017;0.49;4.73;21.54;41.27;92.47;140.66
14/02/2017;0.49;4.73;21.54;41.27;87.85;140.66
14/03/2017;0.49;4.73;21.54;41.27;87.85;140.66
14/04/2017;0.49;4.73;21.54;41.27;87.85;138.13
14/05/2017;0.49;4.73;21.54;41.27;87.85;138.13
14/06/2017;0.49;4.73;19.41;41.27;87.85;134.55
14/07/2017;0.49;4.73;19.36;38.52;80.03;126.73
14/08/2017;0.49;4.73;19.36;38.52;80.03;126.73
14/09/2017;0.49;4.69;19.36;38.52;80.03;126.73
14/10/2017;0.49;4.59;19.36;38.52;80.03;126.73
14/11/2017;0.49;4.59;19.36;38.52;80.03;126.73
14/12/2017;0.49;4.59;19.36;38.52;80.03;126.73
14/01/2018;0.49;4.59;19.36;38.52;80.03;126.73
14/02/2018;0.49;4.59;19.36;38.52;79.6;126.73
14/03/2018;0.49;4.59;19.36;38.52;79.6;119.95
14/04/2018;0.49;4.59;19.36;38.52;79.6;119.89
14/05/2018;0.49;4.22;18.84;37.93;79.46;119.89
14/06/2018;0.49;4.22;18.42;37.28;74.86;117.76
14/07/2018;0.49;4.22;18.42;37.28;74.86;107.89
14/08/2018;0.49;4.22;18.42;37.28;73.82;107.89
14/09/2018;0.49;4.22;18.42;37.28;73.82;107.89
14/10/2018;0.49;4.22;18.42;37.28;73.82;107.89
14/11/2018;0.49;4.22;18.42;37.28;73.82;107.89
14/12/2018;0.49;3.47;18.42;37.28;73.82;107.89
14/01/2019;0.49;3.47;18.42;37.28;73.82;107.89
14/02/2019;0.49;3.47;18.42;37.28;73.82;107.89
14/03/2019;0.49;3.47;18.42;37.28;73.82;107.89
14/04/2019;0.49;3.47;18.42;37.28;73.82;107.89
14/05/2019;0.49;3.47;18.42;37.28;73.82;107.89
14/06/2019;0.49;3.47;18.42;37.28;73.82;107.89
14/07/2019;0.49;3.47;18.42;36.06;73.82;104.02
14/08/2019;0.49;3.47;18.25;36.06;73.82;100.89
14/09/2019;0.49;3.47;17.42;36.06;73.82;100.89
14/10/2019;0.49;3.47;17.42;36.06;73.82;100.89
14/11/2019;0.49;3.47;17.42;36.06;73.82;100.89
14/12/2019;0.49;3.47;17.42;36.06;73.82;100.89
14/01/2020;0.49;3.47;17.42;36.06;73.82;100.89
14/02/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/03/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/04/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/05/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/06/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/07/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/08/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/09/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/10/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/11/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/12/2020;0.49;3.47;17.42;34.92;69.51;100.89
14/01/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/02/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/03/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/04/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/05/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/06/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/07/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/08/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/09/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/10/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/11/2021;0.49;3.47;17.42;34.92;69.51;100.89
14/12/2021;0.49;3.47;16.86;34.92;69.51;100.89
14/01/2022;0.49;3.47;16.86;34.92;69.51;100.89
14/02/2022;0.49;3.47;16.86;34.92;69.51;100.89
14/03/2022;0.49;3.47;16.86;33.02;69.51;100.89
14/04/2022;0.49;3.47;16.79;33.02;69.51;100.89
